Codigo contable;Nombre cuenta;Saldo inicial;Movimiento debito;Movimiento credito;Saldo final;Corriente;No corriente
167500;EQUIPOS DE TRANSPORTE, TRACCIÓN Y ELEVACIÓN;85.175.574.615,00;3.863.691.988,00;2.241.877.219,00;86.797.389.384,00;0;86.797.389.384,00
167502;Terrestre;84.790.646.655,00;3.863.691.988,00;2.241.877.219,00;86.412.461.424,00;0;86.412.461.424,00
167504;Marítimo y fluvial;41.578.821,00;0;0;41.578.821,00;0;41.578.821,00
167505;De tracción;315.976.343,00;0;0;315.976.343,00;0;315.976.343,00
167506;De elevación;27.372.796,00;0;0;27.372.796,00;0;27.372.796,00
168000;EQUIPOS DE COMEDOR, COCINA, DESPENSA Y HOTELERÍA;23.479.090.154,80;368.308.531,00;267.870.275,00;23.579.528.410,80;0;23.579.528.410,80
168001;Equipo de hotelería;32.221.192,00;0;3.781.024,00;28.440.168,00;0;28.440.168,00
168002;Equipo de restaurante y cafetería;23.427.482.503,80;368.308.531,00;264.089.251,00;23.531.701.783,80;0;23.531.701.783,80
168090;Otros equipos de comedor, cocina, despensa y hotelería;19.386.459,00;0;0;19.386.459,00;0;19.386.459,00
168100;BIENES DE ARTE Y CULTURA;7.977.279.920,29;227.000.000,00;220.000.000,00;7.984.279.920,29;0;7.984.279.920,29
168101;Obras de arte;1.303.282.040,00;4.000.000,00;0;1.307.282.040,00;0;1.307.282.040,00
168104;Joyas;13.347.591,29;0;0;13.347.591,29;0;13.347.591,29
168105;Elementos de museo;611.239.782,00;223.000.000,00;220.000.000,00;614.239.782,00;0;614.239.782,00
168107;Libros y publicaciones de investigación y consulta;6.030.960.507,00;0;0;6.030.960.507,00;0;6.030.960.507,00
168190;Otros bienes de arte y cultura;18.450.000,00;0;0;18.450.000,00;0;18.450.000,00
168300;PROPIEDADES, PLANTA Y EQUIPO EN CONCESIÓN;14.177.386.290,28;253.906.173,00;4.522.847,89;14.426.769.615,39;0;14.426.769.615,39
168304;Redes, líneas y cables;55.903.664,00;0;0;55.903.664,00;0;55.903.664,00
168305;Maquinaria y Equipo;612.580.875,00;0;0;612.580.875,00;0;612.580.875,00
168306;Equipo médico y científico;256.632.143,00;0;0;256.632.143,00;0;256.632.143,00
168307;Muebles, enseres y equipo de oficina;312.298.098,00;0;0;312.298.098,00;0;312.298.098,00
168308;Equipos de comunicación y computación;2.225.627.081,00;0;0;2.225.627.081,00;0;2.225.627.081,00
168390;Otras propiedades, planta y equipo en concesión;10.714.344.429,28;253.906.173,00;4.522.847,89;10.963.727.754,39;0;10.963.727.754,39
168500;DEPRECIACIÓN ACUMULADA DE PROPIEDADES, PLANTA Y EQUIPO (CR);-417.610.045.386,85;8.733.847.120,39;43.391.947.311,87;-452.268.145.578,33;0;-452.268.145.578,33
168501;Edificaciones;-77.677.106.954,75;5.505.288.655,90;9.112.801.587,57;-81.284.619.886,42;0;-81.284.619.886,42
168502;Plantas, ductos y túneles;-4.386.150.400,00;0;557.636.400,00;-4.943.786.800,00;0;-4.943.786.800,00
168503;Redes, líneas y cables;-5.636.553.479,00;0;84.491.217,00;-5.721.044.696,00;0;-5.721.044.696,00
168504;Maquinaria y equipo;-31.381.729.096,62;66.185.686,57;2.117.222.752,70;-33.432.766.162,75;0;-33.432.766.162,75
168505;Equipo médico y científico;-8.439.652.628,16;150.577.900,00;809.617.677,14;-9.098.692.405,30;0;-9.098.692.405,30
168506;Muebles, enseres y equipo de oficina;-47.631.447.443,93;124.146.436,24;3.728.289.170,75;-51.235.590.178,44;0;-51.235.590.178,44
168507;Equipos de comunicación y computación;-197.508.426.017,86;1.431.022.234,93;19.234.269.550,63;-215.311.673.333,56;0;-215.311.673.333,56
168508;Equipos de transporte, tracción y elevación;-20.627.148.042,18;513.361.354,67;2.200.285.319,92;-22.314.072.007,43;0;-22.314.072.007,43
168509;Equipos de comedor, cocina, despensa y hotelería;-14.126.374.434,92;159.479.349,00;879.074.285,43;-14.845.969.371,35;0;-14.845.969.371,35
168510;Semovientes;-6.041.761,00;1.897.519,00;4.465.430,00;-8.609.672,00;0;-8.609.672,00
168512;Bienes de arte y cultura;-786.006.967,46;1.285.322,84;98.935.834,43;-883.657.479,05;0;-883.657.479,05
168513;Bienes muebles en bodega;-5.132.796.774,52;508.734.643,36;2.625.210.658,85;-7.249.272.790,01;0;-7.249.272.790,01
168514;Propiedades, planta y equipo en mantenimiento;-193.013.073,84;0;24.126.634,23;-217.139.708,07;0;-217.139.708,07
168515;Propiedades, planta y equipo no explotados;-1.204.415.648,02;270.891.584,94;831.805.546,28;-1.765.329.609,36;0;-1.765.329.609,36
168516;Propiedades, planta y equipo en concesión;-2.873.182.664,59;976.432,94;1.083.715.246,94;-3.955.921.478,59;0;-3.955.921.478,59
169500;DETERIORO ACUMULADO DE PROPIEDADES, PLANTA Y EQUIPO (CR);-7.337.800.865,17;122.369.036,40;2.167.790.785,00;-9.383.222.613,77;0;-9.383.222.613,77
169501;Terrenos;-221.000.000,00;0;0;-221.000.000,00;0;-221.000.000,00
169505;Edificaciones;-1.401.839.469,11;122.369.036,40;1.795.894.114,00;-3.075.364.546,71;0;-3.075.364.546,71
169507;Redes, líneas y cables;-335.691.814,00;0;0;-335.691.814,00;0;-335.691.814,00
169508;Maquinaria y equipo;-17.756.358,00;0;1.096.605,00;-18.852.963,00;0;-18.852.963,00
169510;Muebles, enseres y equipo de oficina;-3.462.281.942,02;0;0;-3.462.281.942,02;0;-3.462.281.942,02
169511;Equipos de comunicación y computación;-1.835.104.997,04;0;4.644.667,00;-1.839.749.664,04;0;-1.839.749.664,04
169512;Equipo de transporte, tracción y elevación;-52.526.285,00;0;366.155.399,00;-418.681.684,00;0;-418.681.684,00
169523;Bienes muebles en bodega;-11.600.000,00;0;0;-11.600.000,00;0;-11.600.000,00
170000;BIENES DE USO PÚBLICO E HISTÓRICOS Y CULTURALES;160.657.396.254.758,00;1.242.205.745.714,50;218.922.787.638,07;161.680.679.212.834,00;0;161.680.679.212.834,00
170300;MATERIALES;15.114.981.920,00;101.286.696.869,00;100.208.793.107,00;16.192.885.682,00;0;16.192.885.682,00
170301;Materiales;15.114.981.920,00;101.286.696.869,00;100.208.793.107,00;16.192.885.682,00;0;16.192.885.682,00
170500;BIENES DE USO PÚBLICO EN CONSTRUCCIÓN;763.454.722.554,15;85.649.564.435,50;41.342.657.608,00;807.761.629.381,65;0;807.761.629.381,65
170501;Red terrestre;524.855.984.113,62;58.597.484.586,50;37.782.300.968,00;545.671.167.732,12;0;545.671.167.732,12
170505;Parques recreacionales;105.053.098.180,68;13.961.900.041,00;3.135.244.596,00;115.879.753.625,68;0;115.879.753.625,68
170590;Otros bienes de beneficio y uso público e históricos y culturales en construcción;133.545.640.259,85;13.090.179.808,00;425.112.044,00;146.210.708.023,85;0;146.210.708.023,85
171000;BIENES DE USO PÚBLICO EN SERVICIO;160.093.246.446.708,00;1.051.903.841.088,00;53.943.723.079,36;161.091.206.564.716,00;0;161.091.206.564.716,00
171001;Red terrestre;367.089.358.485,62;25.409.790.641,00;12.693.387.369,00;379.805.761.757,62;0;379.805.761.757,62
171004;Plazas públicas;348.346.190,00;0;0;348.346.190,00;0;348.346.190,00
171005;Parques recreacionales;43.233.945.533,00;1.919.537.508,00;0;45.153.483.041,00;0;45.153.483.041,00
171014;Terrenos;159.527.828.286.708,00;1.004.439.491.212,00;40.688.857.672,36;160.491.578.920.248,00;0;160.491.578.920.248,00
171090;Otros bienes de beneficio y uso público en servicio;154.746.509.791,00;20.135.021.727,00;561.478.038,00;174.320.053.480,00;0;174.320.053.480,00
171500;BIENES HISTÓRICOS Y CULTURALES;56.672.736,00;0;0;56.672.736,00;0;56.672.736,00
171503;Obras de arte;56.672.736,00;0;0;56.672.736,00;0;56.672.736,00
178500;DEPRECIACIÓN ACUMULADA DE BIENES DE USO PÚBLICO EN SERVICIO (CR);-212.710.589.354,75;3.365.643.322,00;23.427.613.843,71;-232.772.559.876,46;0;-232.772.559.876,46
178501;Red terrestre;-171.076.825.617,75;1.564.769.582,00;16.294.336.220,00;-185.806.392.255,75;0;-185.806.392.255,75
178504;Plazas públicas;-348.346.179,00;0;11;-348.346.190,00;0;-348.346.190,00
178505;Parques recreacionales;-21.154.941.544,00;0;1.801.840.500,00;-22.956.782.044,00;0;-22.956.782.044,00
178590;Otros bienes de beneficio y uso público en servicio;-20.130.476.014,00;1.800.873.740,00;5.331.437.112,71;-23.661.039.386,71;0;-23.661.039.386,71
179000;DETERIORO ACUMULADO DE BIENES DE USO PÚBLICO (CR);-1.765.979.805,00;0;0;-1.765.979.805,00;0;-1.765.979.805,00
179001;Red carretera;-1.173.100.487,00;0;0;-1.173.100.487,00;0;-1.173.100.487,00
179005;Parques recreacionales;-592.879.318,00;0;0;-592.879.318,00;0;-592.879.318,00
190000;OTROS ACTIVOS;11.520.447.210.455,20;2.375.154.806.188,99;2.315.645.013.527,16;11.579.957.003.117,10;3.199.085.652.630,92;8.380.871.350.486,18
190200;PLAN DE ACTIVOS PARA BENEFICIOS A LOS EMPLEADOS A LARGO PLAZO;19.872.579.505,97;5.075.873.992,00;7.201.270.306,00;17.747.183.191,97;9.881.602.599,94;7.865.580.592,03
190202;Recursos entregados en administración a entidades distintas de las sociedades fiduciarias;0;4.145.722,00;4.145.722,00;0;0;0
190204;Encargos fiduciarios;19.872.579.505,97;5.071.728.270,00;7.197.124.584,00;17.747.183.191,97;9.881.602.599,94;7.865.580.592,03
190400;PLAN DE ACTIVOS PARA BENEFICIOS POSEMPLEO;7.511.050.904.576,00;295.077.766.210,00;495.999.309.562,00;7.310.129.361.224,00;1.643.137.067,00;7.308.486.224.157,00
190401;Efectivo y equivalentes al efectivo;1.721.187.454,00;116.435.958.392,00;116.514.008.779,00;1.643.137.067,00;1.643.137.067,00;0
190404;Encargos fiduciarios;7.495.901.588.758,00;178.641.476.650,00;379.443.614.257,00;7.295.099.451.151,00;0;7.295.099.451.151,00
190405;Propiedades, planta y equipo;13.047.418.665,00;0;35.505.942,00;13.011.912.723,00;0;13.011.912.723,00
190407;Otros activos;380.709.699,00;331.168,00;6.180.584,00;374.860.283,00;0;374.860.283,00
190500;BIENES Y SERVICIOS PAGADOS POR ANTICIPADO;116.594.685.939,85;2.516.429.381,17;10.661.523.817,76;108.449.591.503,26;93.757.512.009,26;14.692.079.494,00
190501;Seguros;14.017.127.752,40;859.151.074,00;7.253.484.716,93;7.622.794.109,47;5.196.267.212,47;2.426.526.897,00
190503;Comisiones;106.486.503,00;233.300.286,00;312.077.420,00;27.709.369,00;27.709.369,00;0
190504;Arrendamientos;2.370.759.913,00;195.221.136,67;1.694.074.454,00;871.906.595,67;871.906.595,67;0
190505;Impresos, publicaciones, suscripciones y afiliaciones;14.979.502,00;9.737.333,00;5.788.039,00;18.928.796,00;18.263.846,00;664.950,00
190508;Mantenimiento;412.677.401,00;58.288.100,00;260.881.197,00;210.084.304,00;210.084.304,00;0
190511;Sueldos y salarios;138.987.437,00;376.717,00;48.571.801,00;90.792.353,00;0;90.792.353,00
190513;Estudios y proyectos;2.981.567.487,00;141.901.994,00;0;3.123.469.481,00;27.690.020,00;3.095.779.461,00
190514;Bienes y servicios;10.500.876.749,07;4.263.656,00;251.028.517,07;10.254.111.888,00;5.065.431.741,00;5.188.680.147,00
190515;Otros beneficios a los empleados;83.692.423.884,38;465.015.236,50;405.050.229,76;83.752.388.891,12;81.396.225.562,12;2.356.163.329,00
190590;Otros bienes y servicios pagados por anticipado;2.358.799.311,00;549.173.848,00;430.567.443,00;2.477.405.716,00;943.933.359,00;1.533.472.357,00
190600;AVANCES Y ANTICIPOS ENTREGADOS;220.327.823.274,38;50.687.179.457,00;54.285.618.217,00;216.729.384.514,38;160.027.296.535,38;56.702.087.979,00
190601;Anticipos sobre convenios y acuerdos;81.919.069.185,00;0;4.721.620.274,00;77.197.448.911,00;55.657.463.603,00;21.539.985.308,00
190603;Avances para viáticos y gastos de viaje;1.771.006,00;29.681.132,00;22.908.872,00;8.543.266,00;8.543.266,00;0
190604;Anticipo para adquisición de bienes y servicios;124.160.382.004,38;50.652.362.525,00;40.411.479.358,00;134.401.265.171,38;99.239.162.500,38;35.162.102.671,00
190690;Otros avances y anticipos;14.246.601.079,00;5.135.800,00;9.129.609.713,00;5.122.127.166,00;5.122.127.166,00;0
190700;DERECHOS DE COMPENSACIONES POR IMPUESTOS Y CONTRIBUCIONES;2.700.585,00;0;0;2.700.585,00;2.700.585,00;0
190790;Otros derechos de compensaciones por impuestos y contribuciones;2.700.585,00;0;0;2.700.585,00;2.700.585,00;0
190800;RECURSOS ENTREGADOS EN ADMINISTRACIÓN;2.955.466.492.768,88;1.993.505.165.655,63;1.686.995.696.558,38;3.261.975.961.866,13;2.523.045.567.699,13;738.930.394.167,00
190801;En Administración;2.868.368.233.775,88;1.700.432.566.094,63;1.430.582.706.933,38;3.138.218.092.937,13;2.399.287.698.770,13;738.930.394.167,00
190803;Encargo fiduciario - Fiducia de administración y pagos;87.098.258.993,00;292.916.986.761,00;256.257.376.825,00;123.757.868.929,00;123.757.868.929,00;0
190804;Encargo fiduciario - Fiducia de garantía;0;155.612.800,00;155.612.800,00;0;0;0
190900;DEPÓSITOS ENTREGADOS EN GARANTÍA;48.159.844.747,33;139;16.457.847.124,00;31.701.997.762,33;31.538.428.957,33;163.568.805,00
190902;Para Bienes;19.192.708.300,00;139;15.623.285.036,00;3.569.423.403,00;3.569.423.403,00;0
190903;Depósitos judiciales;28.967.136.447,33;0;834.562.088,00;28.132.574.359,33;27.969.005.554,33;163.568.805,00
192600;DERECHOS EN FIDEICOMISO;441.474.823.470,64;930.526.403,51;8.315.126,27;442.397.034.747,88;317.371.343.546,88;125.025.691.201,00
192603;Fiducia mercantil - patrimonio autónomo;441.474.823.470,64;930.526.403,51;8.315.126,27;442.397.034.747,88;317.371.343.546,88;125.025.691.201,00
195100;PROPIEDADES DE INVERSIÓN;13.067.645.488,08;0;0;13.067.645.488,08;0;13.067.645.488,08
195101;Terrenos;495.439.488,08;0;0;495.439.488,08;0;495.439.488,08
195102;Edificaciones;12.572.206.000,00;0;0;12.572.206.000,00;0;12.572.206.000,00
195200;DEPRECIACIÓN ACUMULADA DE PROPIEDADES DE INVERSIÓN (CR);-484.322.542,56;0;60.540.317,82;-544.862.860,38;0;-544.862.860,38
195201;Edificaciones;-484.322.542,56;0;60.540.317,82;-544.862.860,38;0;-544.862.860,38
197000;ACTIVOS INTANGIBLES;192.136.352.383,92;10.372.189.635,00;8.041.221.348,00;194.467.320.670,92;0;194.467.320.670,92
197007;Licencias;87.992.029.843,28;5.951.217.391,00;4.910.059.584,00;89.033.187.650,28;0;89.033.187.650,28
197008;Software;94.929.428.980,64;3.728.196.608,00;1.643.100.105,00;97.014.525.483,64;0;97.014.525.483,64
197010;Activos intangibles en fase de desarrollo;9.006.826.894,00;692.775.636,00;1.488.061.659,00;8.211.540.871,00;0;8.211.540.871,00
197090;Otros intangibles;208.066.666,00;0;0;208.066.666,00;0;208.066.666,00
197500;AMORTIZACIÓN ACUMULADA DE ACTIVOS INTANGIBLES (CR);-66.307.945.122,22;1.468.139.108,68;7.543.723.981,93;-72.383.529.995,47;0;-72.383.529.995,47
197507;Licencias;-36.474.344.062,49;1.141.718.449,68;4.331.970.901,59;-39.664.596.514,40;0;-39.664.596.514,40
197508;Software;-29.813.442.222,04;326.420.659,00;3.210.237.097,51;-32.697.258.660,55;0;-32.697.258.660,55
197590;Otros intangibles;-20.158.837,69;0;1.515.982,83;-21.674.820,52;0;-21.674.820,52
197600;DETERIORO ACUMULADO DE ACTIVOS INTANGIBLES (CR);-5.600.849.212,00;0;0;-5.600.849.212,00;0;-5.600.849.212,00
197606;Licencias;-140.128.892,00;0;0;-140.128.892,00;0;-140.128.892,00
197607;Softwares;-5.460.720.320,00;0;0;-5.460.720.320,00;0;-5.460.720.320,00
198600;ACTIVOS DIFERIDOS;74.686.474.592,00;9.646.867.000,00;22.515.277.961,00;61.818.063.631,00;61.818.063.631,00;0
198605;Gasto diferido por subvenciones condicionadas;74.686.474.592,00;5.000.000.000,00;22.515.277.961,00;57.171.196.631,00;57.171.196.631,00;0
198606;Costos de transacción - Activos y pasivos financieros;0;4.646.867.000,00;0;4.646.867.000,00;4.646.867.000,00;0
199000;DERECHOS DE REEMBOLSO Y DE SUSTITUCIÓN DE ACTIVOS DETERIORADOS;0;5.874.669.207,00;5.874.669.207,00;0;0;0
199003;Derechos de reembolso relacionados con cuotas partes de pensiones;0;5.874.669.207,00;5.874.669.207,00;0;0;0
200000;PASIVOS;17.420.551.859.936,80;7.482.129.164.805,50;7.711.215.377.209,83;17.649.638.072.341,20;3.984.909.325.602,44;13.664.728.746.738,70
220000;EMISIÓN Y COLOCACIÓN DE TÍTULOS DE DEUDA;2.016.503.527.019,00;9.346.200.000,00;38.501.538.865,00;2.045.658.865.884,00;142.574.373.386,00;1.903.084.492.498,00
222300;FINANCIAMIENTO INTERNO DE LARGO PLAZO;1.414.393.985.513,00;9.346.200.000,00;24.375.042.086,00;1.429.422.827.599,00;72.036.619.107,00;1.357.386.208.492,00
222390;Otros bonos y títulos emitidos;1.414.393.985.513,00;9.346.200.000,00;24.375.042.086,00;1.429.422.827.599,00;72.036.619.107,00;1.357.386.208.492,00
222500;FINANCIAMIENTO EXTERNO DE LARGO PLAZO;602.109.541.506,00;0;14.126.496.779,00;616.236.038.285,00;70.537.754.279,00;545.698.284.006,00
222590;Otros bonos y títulos emitidos;602.109.541.506,00;0;14.126.496.779,00;616.236.038.285,00;70.537.754.279,00;545.698.284.006,00
230000;PRÉSTAMOS POR PAGAR;568.650.774.194,00;116.907.055.717,00;395.328.626.937,00;847.072.345.414,00;108.981.008.192,00;738.091.337.222,00
231400;FINANCIAMIENTO INTERNO DE LARGO PLAZO;152.903.595.810,00;15.830.089.068,00;217.986.421.109,00;355.059.927.851,00;21.116.653.057,00;333.943.274.794,00
231401;Préstamos banca comercial;152.903.595.810,00;15.830.089.068,00;217.986.421.109,00;355.059.927.851,00;21.116.653.057,00;333.943.274.794,00
231700;FINANCIAMIENTO EXTERNO DE LARGO PLAZO;415.747.178.384,00;101.076.966.649,00;177.342.205.828,00;492.012.417.563,00;87.864.355.135,00;404.148.062.428,00
231702;Préstamos banca multilateral;392.327.190.594,00;95.150.551.071,00;167.066.557.314,00;464.243.196.837,00;85.933.601.627,00;378.309.595.210,00
231703;Préstamos banca de fomento;8.947.479.457,00;2.222.225.167,00;4.124.390.909,00;10.849.645.199,00;861.186.641,00;9.988.458.558,00
231704;Préstamos de gobiernos;14.472.508.333,00;3.704.190.411,00;6.151.257.605,00;16.919.575.527,00;1.069.566.867,00;15.850.008.660,00
240000;CUENTAS POR PAGAR;1.782.806.419.973,86;4.289.328.873.544,27;4.026.110.957.514,51;1.519.588.503.944,10;1.513.849.034.708,10;5.739.469.236,00
240100;ADQUISICIÓN DE BIENES Y SERVICIOS NACIONALES;246.894.633.438,30;1.030.762.607.830,96;902.067.547.174,30;118.199.572.781,64;118.199.572.781,64;0
240101;Bienes y servicios;147.159.530.110,73;694.759.376.487,96;618.860.423.980,18;71.260.577.602,95;71.260.577.602,95;0
240102;Proyectos de inversión;99.735.103.327,57;336.003.231.343,00;283.207.123.194,12;46.938.995.178,69;46.938.995.178,69;0
240200;SUBVENCIONES POR PAGAR;274.391.428.938,59;219.960.329.537,59;25.546.633.419,00;79.977.732.820,00;79.977.732.820,00;0
240205;Subvención por recursos transferidos a las empresas públicas;274.391.428.938,59;217.347.829.537,59;22.934.133.419,00;79.977.732.820,00;79.977.732.820,00;0
240290;Otras subvenciones;0;2.612.500.000,00;2.612.500.000,00;0;0;0
240300;TRANSFERENCIAS POR PAGAR;156.597.238.935,80;923.149.501.536,00;971.901.877.951,00;205.349.615.350,80;205.349.615.350,80;0
240315;Otras transferencias;156.597.238.935,80;923.149.501.536,00;971.901.877.951,00;205.349.615.350,80;205.349.615.350,80;0
240700;RECURSOS A FAVOR DE TERCEROS;457.058.100.496,44;155.341.305.004,92;219.899.978.707,03;521.616.774.198,55;515.970.330.951,55;5.646.443.247,00
240701;Deducción de impuestos;646.339.000,00;0;0;646.339.000,00;646.339.000,00;0
240706;Cobro cartera de terceros;28.156.183.370,00;1.594.606.686,00;2.278.681.498,00;28.840.258.182,00;27.311.373.324,00;1.528.884.858,00
240720;Recaudos por clasificar;410.610.950.439,34;6.742.677.406,00;6.766.664.391,00;410.634.937.424,34;410.634.937.424,34;0
240722;Estampillas;1.215.916,00;2.248.492,00;20.276.288,00;19.243.712,00;19.243.712,00;0
240726;Rendimientos financieros;46.626.302,46;46.626.303,00;46.627.360,49;46.627.359,95;46.627.359,95;0
240790;Otros recaudos a favor de terceros;17.596.785.468,64;146.955.146.117,92;210.787.729.169,54;81.429.368.520,26;77.311.810.131,26;4.117.558.389,00
242400;DESCUENTOS DE NÓMINA;6.135.867.780,52;168.799.003.147,00;177.114.747.935,00;14.451.612.568,52;14.451.612.568,52;0
242401;Aportes a fondos pensionales;3.121.090.811,52;21.512.307.026,00;26.835.933.039,00;8.444.716.824,52;8.444.716.824,52;0
242402;Aportes a seguridad social en salud;2.774.980.999,00;14.331.589.798,00;16.813.777.679,00;5.257.168.880,00;5.257.168.880,00;0
242404;Sindicatos;284.374,00;182.967.813,00;182.967.813,00;284.374,00;284.374,00;0
242405;Cooperativas;178.374.591,00;105.040.309.118,00;104.949.197.597,00;87.263.070,00;87.263.070,00;0
242406;Fondos de empleados;0;721.593.462,00;721.593.462,00;0;0;0
242407;Libranzas;0;2.288.876.938,00;2.308.841.422,00;19.964.484,00;19.964.484,00;0
242408;Contratos de medicina prepagada;0;219.963.763,00;219.963.763,00;0;0;0
242411;Embargos judiciales;61.137.005,00;1.426.345.771,00;1.748.557.596,00;383.348.830,00;383.348.830,00;0
242412;Seguros;0;2.788.144,00;2.788.144,00;0;0;0
242413;Cuenta de ahorro para el fomento de la construcción (AFC);0;1.299.280.341,00;1.358.918.007,00;59.637.666,00;59.637.666,00;0
242490;Otros descuentos de nómina;0;21.772.980.973,00;21.972.209.413,00;199.228.440,00;199.228.440,00;0
243000;SUBSIDIOS ASIGNADOS;500.976.106,00;84.334.193.783,00;92.286.517.340,00;8.453.299.663,00;8.453.299.663,00;0
243012;Servicio de acueducto;80.306.072,00;35.149.301.657,00;38.063.764.111,00;2.994.768.526,00;2.994.768.526,00;0
243013;Servicio de alcantarillado;420.670.034,00;28.568.493.700,00;33.606.354.803,00;5.458.531.137,00;5.458.531.137,00;0
243014;Servicio de aseo;0;20.616.398.426,00;20.616.398.426,00;0;0;0
243600;RETENCIÓN EN LA FUENTE E IMPUESTO DE TIMBRE;69.068.077.011,86;194.381.196.544,95;157.282.324.185,55;31.969.204.652,46;31.969.204.652,46;0
243603;Honorarios;4.360.394.542,00;11.140.218.420,00;8.361.807.133,00;1.581.983.255,00;1.581.983.255,00;0
243604;Comisiones;3.083.942,00;14.965.739,00;12.440.494,00;558.697,00;558.697,00;0
243605;Servicios;3.059.581.632,12;8.295.997.640,00;6.582.981.531,98;1.346.565.524,10;1.346.565.524,10;0
243606;Arrendamientos;139.572.074,00;594.209.207,00;565.211.598,00;110.574.465,00;110.574.465,00;0
243607;Rendimientos financieros e intereses;51.741.830,00;87.528.596,00;35.786.766,00;0;0;0
243608;Compras;2.294.504.907,00;4.483.160.258,00;4.061.255.940,90;1.872.600.589,90;1.872.600.589,90;0
243610;Pagos o abonos en cuentas en el exterior;410.420,00;3.711.211,00;4.493.923,00;1.193.132,00;1.193.132,00;0
243612;Enajenación de activos fijos de personas naturales;7.361.720.000,00;29.108.627.000,00;25.394.947.000,00;3.648.040.000,00;3.648.040.000,00;0
243615;Rentas de trabajo;9.390.998.430,00;31.699.318.761,00;27.306.043.474,00;4.997.723.143,00;4.997.723.143,00;0
243625;Impuesto a las ventas retenido;4.666.438.509,61;10.405.155.197,00;8.651.064.280,00;2.912.347.592,61;2.912.347.592,61;0
243626;Contratos de construcción;4.198.541.596,00;8.888.953.055,00;6.264.373.862,00;1.573.962.403,00;1.573.962.403,00;0
243627;Retención de impuesto de industria y comercio por compras;7.342.823.722,41;13.971.527.715,23;8.924.487.726,67;2.295.783.733,85;2.295.783.733,85;0
243690;Otras retenciones;26.198.265.406,72;75.687.823.745,72;61.117.430.456,00;11.627.872.117,00;11.627.872.117,00;0
244000;IMPUESTOS, CONTRIBUCIONES Y TASAS;4.571.006,00;406.873.994,00;416.575.479,00;14.272.491,00;14.272.491,00;0
244003;Impuesto predial unificado;0;47.759.949,00;47.759.949,00;0;0;0
244011;Licencias, registro y salvoconducto;0;1.294.707,00;1.347.051,00;52.344,00;52.344,00;0
244017;Intereses de mora;0;69.398.000,00;69.398.000,00;0;0;0
244023;Contribuciones;0;14.348.029,00;23.909.670,00;9.561.641,00;9.561.641,00;0
244024;Tasas;0;274.073.309,00;274.073.309,00;0;0;0
244035;Estampillas;0;0;87.500,00;87.500,00;87.500,00;0
244091;Otras contribuciones y tasas;4.571.006,00;0;0;4.571.006,00;4.571.006,00;0
244500;IMPUESTO AL VALOR AGREGADO - IVA;129.782.832,33;386.475.724,16;300.013.499,09;43.320.607,26;43.320.607,26;0
244502;Venta de servicios;129.782.832,33;386.475.724,16;300.013.499,09;43.320.607,26;43.320.607,26;0
246000;CRÉDITOS JUDICIALES;9.027.002.509,00;6.807.602.338,00;3.879.359.795,00;6.098.759.966,00;6.049.665.366,00;49.094.600,00
246002;Sentencias;8.497.605.174,00;6.807.394.005,00;3.879.359.795,00;5.569.570.964,00;5.520.476.364,00;49.094.600,00
246003;Laudos arbitrales y conciliaciones extrajudiciales;529.189.002,00;0;0;529.189.002,00;529.189.002,00;0
246090;Otros Créditos judiciales;208.333,00;208.333,00;0;0;0;0
249000;OTRAS CUENTAS POR PAGAR;562.998.740.919,02;1.504.999.784.103,69;1.475.415.382.029,54;533.414.338.844,87;533.370.407.455,87;43.931.389,00
249011;Esquemas de pago;7.684.529,00;31.235.724,00;23.551.195,00;0;0;0
249013;Recursos de acreedores reintegrados por entidades públicas;0;358.362.464,00;358.362.464,00;0;0;0
249015;Obligaciones pagadas por terceros;0;468.000,00;467.361.300,00;466.893.300,00;466.893.300,00;0
249027;Viáticos y gastos de viaje;12.041.457,00;45.445.219,00;33.403.762,00;0;0;0
249028;Seguros;190.938.407,00;334.005.281,00;251.652.264,00;108.585.390,00;108.585.390,00;0
249032;Cheques no cobrados o por reclamar;841.250.591,33;167.633.066,00;147.310.120,00;820.927.645,33;820.927.645,33;0
249034;Aportes a escuelas industriales, institutos técnicos y ESAP;233.861.412,00;2.079.608.505,00;2.509.848.693,00;664.101.600,00;664.101.600,00;0
249038;Recursos destinados a la financiación del Sistema General de Seguridad Social en;1.614.600,00;233.614.966,00;280.616.666,00;48.616.300,00;48.616.300,00;0
249039;Saldos a favor de contribuyentes;542.854.460.032,00;1.426.132.401.185,00;1.396.292.253.257,00;513.014.312.104,00;513.014.312.104,00;0
249040;Saldos a favor de beneficiarios;4.425.652.391,00;2.545.390.125,00;11.790.796.013,00;13.671.058.279,00;13.627.126.890,00;43.931.389,00
249045;Multas y sanciones;707.315,00;4.140.580,00;4.140.580,00;707.315,00;707.315,00;0
249050;Aportes al ICBF y SENA;545.281.061,00;7.158.384.455,00;8.344.236.694,00;1.731.133.300,00;1.731.133.300,00;0
249051;Servicios públicos;147.738.889,00;9.188.680.343,00;9.113.826.141,00;72.884.687,00;72.884.687,00;0
249053;Comisiones;63.371.503,00;213.943.248,00;165.143.102,00;14.571.357,00;14.571.357,00;0
249054;Honorarios;11.047.869.326,05;42.083.069.544,05;33.451.479.546,00;2.416.279.328,00;2.416.279.328,00;0
